kind,n_neighbors,distance,weights,rmse_2d_m,mean_error_m,median_error_m,p75_error_m,p95_error_m,n
central,5,euclidean,uniform,4.395150110375885,3.548865459524935,2.868665067217484,4.749211147989386,8.4781550400899,1012
distributed,5,euclidean,uniform,4.395150110375885,3.548865459524935,2.868665067217484,4.749211147989386,8.4781550400899,1012
central,5,euclidean,distance,4.359586563056352,3.5182931379324835,2.8217638696495797,4.787060224970727,8.311709442058598,1012
distributed,5,euclidean,distance,4.359586563056352,3.5182931379324835,2.8217638696495797,4.787060224970727,8.311709442058598,1012
central,7,manhattan,uniform,3.6822694645907195,3.024061661188334,2.5604946178875347,3.888398123632934,7.042956637452208,1012
distributed,7,manhattan,uniform,3.6822694645907195,3.024061661188334,2.5604946178875347,3.888398123632934,7.042956637452208,1012
central,7,manhattan,distance,3.643401515893741,2.991991214419305,2.5372013685071453,3.918089063639754,6.949471902951731,1012
distributed,7,manhattan,distance,3.643401515893741,2.991991214419305,2.5372013685071453,3.918089063639754,6.949471902951731,1012
central,7,euclidean,uniform,4.328079392936673,3.531995322952881,2.9410104519297917,4.57940076125044,8.34842921205716,1012
distributed,7,euclidean,uniform,4.328179437044106,3.5320691193126073,2.9410104519297917,4.57940076125044,8.34842921205716,1012
central,7,euclidean,distance,4.291974414645545,3.5025672698610926,2.8768830646238412,4.5608699785974975,8.11407381385398,1012
distributed,7,euclidean,distance,4.292069469648144,3.5026366032308363,2.8768830646238412,4.5608699785974975,8.11407381385398,1012
central,11,manhattan,uniform,3.634040351519449,3.0052152700406984,2.607737569900677,3.963459214765897,6.807525568135951,1012
distributed,11,manhattan,uniform,3.634040351519449,3.0052152700406984,2.607737569900677,3.963459214765897,6.807525568135951,1012
central,11,manhattan,distance,3.5990065205202852,2.974044305894796,2.594824972804945,3.9324284809191212,6.759430160353411,1012
distributed,11,manhattan,distance,3.5990065205202852,2.9740443058947963,2.594824972804943,3.9324284809191266,6.759430160353411,1012
central,11,euclidean,uniform,4.219500845563167,3.4523850663306996,2.900051229496608,4.454961819677571,8.049101421953988,1012
distributed,11,euclidean,uniform,4.219514618394272,3.452397172415725,2.900051229496608,4.454961819677571,8.049101421953988,1012
central,11,euclidean,distance,4.186410881364407,3.4297450302696353,2.8471515237205143,4.4420870562342625,8.005715375861772,1012
distributed,11,euclidean,distance,4.186425038923854,3.4297583371437,2.8471515237205143,4.4420870562342625,8.005715375861772,1012
central,15,manhattan,uniform,3.6662954412783284,3.048264633892018,2.6374993193071417,3.9808059926295436,6.995585053669064,1012
distributed,15,manhattan,uniform,3.666320071444064,3.048279867089131,2.6374993193071417,3.9808059926295436,6.995585053669064,1012
central,15,manhattan,distance,3.626166024072974,3.012204396224537,2.584651287243162,3.910646922334634,6.964150560353976,1012
distributed,15,manhattan,distance,3.6261867311229286,3.012217427250781,2.584651287243162,3.910646922334634,6.964150560353978,1012
central,15,euclidean,uniform,4.1977680144491565,3.462207184975491,2.9977823471396077,4.530890780838444,8.055437022470658,1012
distributed,15,euclidean,uniform,4.1977680144491565,3.462207184975491,2.9977823471396077,4.530890780838444,8.055437022470658,1012
central,15,euclidean,distance,4.167170841732598,3.437802564971329,2.9715628969168213,4.490460805492595,7.993430415600708,1012
distributed,15,euclidean,distance,4.167170841732597,3.4378025649713284,2.971562896916822,4.490460805492595,7.993430415600708,1012
central,21,manhattan,uniform,3.743996952591711,3.1367112806083486,2.7615300911509433,4.1023681381254296,7.0738525875614835,1012
distributed,21,manhattan,uniform,3.7439928057184977,3.1367069889798005,2.7615300911509433,4.1023681381254296,7.0738525875614835,1012
central,21,manhattan,distance,3.6946668061024583,3.092761422250693,2.734816806952531,4.056906949867024,6.931854502039422,1012
distributed,21,manhattan,distance,3.6946637222083885,3.0927582031645713,2.734816806952531,4.056906949867024,6.931854502039424,1012
central,21,euclidean,uniform,4.204840336368882,3.510212838924793,3.048714711508407,4.606357443435429,7.98474502105743,1012
distributed,21,euclidean,uniform,4.204840336368882,3.510212838924793,3.048714711508407,4.606357443435429,7.98474502105743,1012
central,21,euclidean,distance,4.174410707483066,3.482873296939032,3.0524400931026126,4.5818541348989985,7.931045444796249,1012
distributed,21,euclidean,distance,4.174410707483066,3.4828732969390317,3.0524400931026134,4.581854134898997,7.931045444796248,1012
central,31,manhattan,uniform,3.87701072134103,3.2643607192520347,2.8994832337680085,4.303529085685996,7.236337964926346,1012
distributed,31,manhattan,uniform,3.877013130680969,3.2643653814247893,2.8994832337680085,4.303529085685996,7.236337964926346,1012
central,31,manhattan,distance,3.817769691442472,3.213037257329934,2.832357691594736,4.275404149906684,7.132062483520284,1012
distributed,31,manhattan,distance,3.8177732277808603,3.2130436242091163,2.832357691594738,4.275404149906686,7.132062483520282,1012
central,31,euclidean,uniform,4.2623129838174005,3.5881863645334406,3.154137626996146,4.666945624845948,7.936149140859937,1012
distributed,31,euclidean,uniform,4.2623129838174005,3.5881863645334406,3.154137626996146,4.666945624845948,7.936149140859937,1012
central,31,euclidean,distance,4.226431291738284,3.557362085812766,3.1413797365735316,4.660523472333429,7.909475183233573,1012
distributed,31,euclidean,distance,4.226431291738284,3.557362085812766,3.1413797365735308,4.660523472333429,7.909475183233568,1012
